id,publisher_id,title,url,format,last_modified,period
75708f5f-686f-4efd-a69a-4337565adfd0,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A48%3A11.399Z/spending-2011-12.xml,XML,,
63636503-574f-460a-9e96-7fabf446a7af,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A51%3A14.551Z/spending-2012-01.csv,CSV,,
16a84d3e-34bc-4297-861a-527908477d1a,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A52%3A43.959Z/spending-2012-01.pdf,PDF,,
1cb8c8de-630f-423f-a166-318363f78e6b,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A53%3A09.354Z/spending-2012-01.xml,XML,,
d06f5b1c-9948-4f7c-a5c8-753641e8eaca,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A54%3A32.820Z/spending-2012-02.csv,CSV,,
375d264d-844b-46c6-be97-878daea44991,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A54%3A55.620Z/spending-2012-02.pdf,PDF,,
d15af8b3-312c-41a7-8310-4aedcba2f06f,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A55%3A19.322Z/spending-2012-02.xml,XML,,
88cf3365-bbdc-4072-ad8e-3726791b5296,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A56%3A44.517Z/spending-2012-03.csv,CSV,,
3303170f-1a6b-4c1e-8ecd-c7f9d6e8ca84,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A57%3A14.525Z/spending-2012-03.pdf,PDF,,
2aeed07c-7740-4bb5-99a6-c2b79f942e04,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A57%3A32.853Z/spending-2012-03.xml,XML,,
